#   max_th 15
# time red_drops red_traffic red_ratio mred_drops mred_traffic  mred_ratio
# 
# 
889  25 25 0 0 19 1
890  33 33 0 33 33 0
891  29 29 0 33 33 0
892  9 9 0 33 33 0
893  36 36 0 0 14 1
894  22 22 0 24 24 0
895  29 29 0 22 22 0
896  37 37 0 1 18 0.944444444444444
897  12 12 0 0 23 1
898  33 33 0 0 12 1
899  28 28 0 36 36 0
900  41 41 0 0 21 1
901  19 19 0 0 14 1
902  29 29 0 29 29 0
903  12 12 0 26 26 0
904  24 24 0 33 33 0
905  31 31 0 0 12 1
906  12 12 0 0 23 1
907  8 8 0 0 19 1
908  19 19 0 20 20 0
909  8 8 0 0 35 1
910  5 5 0 0 19 1
911  24 24 0 37 37 0
912  19 19 0 0 0 0
913  31 31 0 45 45 0
914  10 10 0 24 24 0
915  22 22 0 0 23 1
916  19 19 0 30 30 0
917  17 17 0 24 24 0
918  45 45 0 24 24 0
919  40 40 0 1 18 0.944444444444444
920  36 36 0 22 22 0
921  14 14 0 38 38 0
922  28 28 0 0 31 1
923  22 22 0 0 23 1
924  45 45 0 37 37 0
925  16 16 0 38 38 0
926  30 30 0 0 17 1
927  24 24 0 28 28 0
928  15 15 0 0 15 1
929  37 37 0 0 19 1
930  16 16 0 0 7 1
931  27 27 0 45 45 0
932  14 14 0 0 15 1
933  38 38 0 0 17 1
934  31 31 0 0 12 1
935  28 28 0 24 24 0
936  35 35 0 0 14 1
937  16 16 0 0 31 1
938  26 26 0 0 19 1
939  12 12 0 0 0 0
940  27 27 0 28 28 0
941  7 7 0 0 12 1
942  15 15 0 25 25 0
943  30 30 0 0 27 1
944  25 25 0 0 21 1
945  24 24 0 36 36 0
946  28 28 0 0 14 1
947  26 26 0 40 40 0
948  10 10 0 0 19 1
949  26 26 0 40 40 0
950  29 29 0 28 28 0
951  24 24 0 0 11 1
952  4 4 0 22 22 0
953  26 26 0 30 30 0
954  26 26 0 26 26 0
955  18 18 0 0 21 1
956  21 21 0 0 34 1
957  28 28 0 26 26 0
958  15 15 0 0 4 1
959  21 21 0 0 12 1
960  42 42 0 0 15 1
961  5 5 0 24 24 0
962  24 24 0 0 11 1
963  26 26 0 0 21 1
964  10 10 0 0 12 1
965  19 19 0 0 27 1
966  24 24 0 38 38 0
967  31 31 0 22 22 0
968  15 15 0 0 35 1
969  28 28 0 26 26 0
970  21 21 0 0 21 1
971  33 33 0 38 38 0
972  14 14 0 33 33 0
973  33 33 0 0 15 1
974  10 10 0 22 22 0
